"epoch","Group: Unmasked - train/distill_loss","Group: Unmasked - train/distill_loss__MIN","Group: Unmasked - train/distill_loss__MAX","Group: Unmasked - _step","Group: Unmasked - _step__MIN","Group: Unmasked - _step__MAX","Group: Masked - train/distill_loss","Group: Masked - train/distill_loss__MIN","Group: Masked - train/distill_loss__MAX","Group: Masked - _step","Group: Masked - _step__MIN","Group: Masked - _step__MAX"
"52","0.007691260799765587","0.007601245306432247","0.007804012391716242","105","105","105","0.010248726233839989","0.010109106078743935","0.010479980148375034","105","105","105"
"53","0.00770299443975091","0.007541136350482702","0.007800235878676176","107","107","107","0.010089677758514881","0.009862723760306835","0.01027176808565855","107","107","107"
"54","0.007566430233418941","0.0074057746678590775","0.007738144136965275","109","109","109","0.010033526457846165","0.009831295348703861","0.010384656488895416","109","109","109"
"55","0.0075692195445299145","0.007451184559613466","0.007702130824327469","111","111","111","0.010071603953838349","0.009776289574801922","0.010267041623592377","111","111","111"
"56","0.007537802867591381","0.00734605360776186","0.007728740572929382","113","113","113","0.009940547868609428","0.009734630584716797","0.010206245817244053","113","113","113"
"57","0.007544472441077232","0.0074358051642775536","0.007653655018657446","115","115","115","0.00991206243634224","0.00975986197590828","0.010313079692423344","115","115","115"
"58","0.007485225889831781","0.007411040365695953","0.0075605097226798534","117","117","117","0.01000605933368206","0.00966703612357378","0.010457147844135761","117","117","117"
"59","0.007416063081473112","0.0073341126553714275","0.007541391998529434","119","119","119","0.00982681717723608","0.009678817354142666","0.009952066466212273","119","119","119"
"60","0.0073707147501409056","0.007262329570949078","0.0075256130658090115","121","121","121","0.009682484529912471","0.009404487907886505","0.009888295084238052","121","121","121"
"61","0.007362628448754549","0.007240648847073317","0.007526912726461887","123","123","123","0.009603908471763133","0.00946021918207407","0.009875351563096046","123","123","123"
"62","0.007324238680303097","0.0071167415007948875","0.007439938373863697","125","125","125","0.009635712951421738","0.009334773756563663","0.009921712800860405","125","125","125"
"63","0.007375670596957207","0.007083374075591564","0.007541746832430363","127","127","127","0.009509731642901897","0.009286710992455482","0.009684888646006584","127","127","127"
"64","0.007195362541824579","0.007039549760520458","0.007312697358429432","129","129","129","0.009473033435642719","0.00924092996865511","0.009683102369308472","129","129","129"
"65","0.007154724467545748","0.0070008886978030205","0.007416549604386091","131","131","131","0.009478770941495896","0.009075842797756195","0.009932097047567368","131","131","131"
